Username,Id,Tweet,Location
P_rinceBoateng,4726579575,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,Korlebu
Im4Lab,1128804730015109120,"RT @BeadSpiller: One mask done! I'll make at least one more for myself, and some for my family if they want them. https://t.co/ax7XhTjA5L","Vancouver, British Columbia"
pssmtv,1641224070,@mfoxhunter @JackPosobiec If you practice distancing you do not need mask.,USA
98LAFLARE,985212799629471745,RT @bigracks: this not the first time society made us wear a mask 💯,"Houston, TX"
hiviqs,149039362,"RT @firkey_: mainten social distancing
wear mask 
wash you hands 
eat vegetables
drink water
abuse woke people","Kolkata, India"
kiera_jahari,936148594297421824,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,"Perak, Malaysia"
acolemanlantern,703362741084495873,Let’s make trump wear a mask. His mouth is super creepy.,"North Carolina, on the edge"
allcurledup,157704784,Note to other makers: Hair ties work great! Cut them in half and sew them to each end of the mask.,Baltimore
SlagOffTwits,1397423666,@Crypsis19 @Bubola @ConceptualJames My mask also covers my head.,"Ottawa, Ontario"
Trashpan_XD,842943619250184192,@Looking4Alicia if theyre shaped like dinosaurs you can borrow my gas mask https://t.co/ddD2NwpQpl,Make The Hamburger Country 
_AjSan,192413303,@oxycondone @_Describeacolor Only if we all wear gloves and mask,"Midland,Texas"
djdy31,1013410216690507777,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,"Philadelphia, PA"
garces20071,4784054420,RT @PedrazaCristin: ⚡️ “Should you wear a face mask?” de @QuickTake https://t.co/L3Zj9n69tI,"Medellín, Colombia"
TracyCh86248594,2155847459,RT @joshtpm: This is crystal clear. A lot of lying happened on this front.,edge of PA
safiudeenayomi,2373404540,"RT @Gen_Buhar: Why buying Nose mask at high price ? 

Home made Nose mask.1 https://t.co/K0HR8qXxcR","Lagos, Nigeria"
165_hby,1135598334352199682,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,Hässelby in och ut HA HA
AAbdulJabbar_,2239454465,RT @precious_mecci: Why didn’t you snap your gun and mask dear?,Island of misfit toys 
White75Jan,2260881798,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,Cottonwood Arizona
K___A___ABBAS,848273345175056384,"RT @Tobbsticks: Went to get Face mask and gloves, and I saw these https://t.co/HIWAFXiNGr","Yobe, Nigeria"
Phil_rees_wru,2174858542,RT @youngy18: ‼ Use a face mask or scarf to keep you nose and mouth covered., Wales
taych,30491590,"RT @museumof_man: @mgrant76308 March on Washington.

Put on a mask and gloves

Grab a roll of TP.
And let's roll.

Got anything better to d…","ÜT: 41.031981,-80.678878"
gianna_din,4569017839,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,"Baltimore, MD"
canadawatching,829022080905654272,RT @duty2warn: BREAKING: Fauci discusses new life-saving face mask. https://t.co/qA09uUjbXC,"Alberta, Canada"
oafbot,10365942,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,nyc
estillo,402626940,"@DONJAZZY Biko, send this your mask 😆",Nigeria
Lowy007,1588032703,@darrenhayes Was always ahead of his time. MF was wearing a face mask way before it was cool!,Brisbane
Lytanwise,236941954,RT @consider6261: Am ready to help,"Madison Heights, MI"
teagiselle,1216780417971499013,He’s Fucking gorgeous,"New York, NY"
JustThatMan_,177174253,Bitch came out the house with the taliban mask you can’t tell me she ain’t sick 💀💀💀🤣,Paradise
Midwestocean,57865343,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,Kansas City!
smithvinchi,796658644704182276,"Laid out example for many to follow
I hope they actually do follow","Port Harcourt, Nigeria"
ElafikwuSunday,2359352312,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,Abuja
echotheguru,392431302,Highest cruise 😭,"Lagos, Chicago"
onyebuchinweke5,3380958141,RT @thecableng: VIDEO: Laughter as senator removes face mask to sneeze https://t.co/jfwVmcoEuL via @thecableng https://t.co/O70pwYULOY,"ABA, BIAFRA"
AsandarrSijako,1031188111177510912,RT @B0TSHELO: People in the mall looked at me weird for wearing a mask,"Johannesburg, South Africa "
orlawruphemi,2972129015,@IamMayorKun @vdm_fresh @AyoFreeman__ @CjayMoore__ People get ready for another hit...mask geng,"Lagos, Nigeria"
GanjasmokerCb,788102773514637312,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,"Home, Denmark"
