Username,Id,Tweet
yeshiv03,74935478,RT @nagarjund: Congress MLA Dr Ranganath made sure every MLA entering Vidhan Soudha wore a N95 mask. #COVID19outbreak https://t.co/zdCFq2Ow…
NAZHlWA,3314464902,"RT @kimyaqee2: No one :

TiaOutsold,1037498258858201088,You had your first “breathing while [insert race]” at your old age? How privileged.,"San Diego, CA"
vintagevinsaint,479175954,RT @thecableng: VIDEO: Laughter as senator removes face mask to sneeze https://t.co/jfwVmcoEuL via @thecableng https://t.co/O70pwYULOY,Nigeria
MrHarithZafran,554231087,RT @aizadfahmy: Ok we need Rizalman to come back from retirement,"No.23E,Jalan Tumpat , England"
conorlyo,989679627307106304,"It’s like Avatar

Where the marine doesn’t get a mask

But has to live with the giant natives","Los Angeles, CA"
amba12,25953805,@SissyWillis Why is her mask red?,New York City!
JjumbaSwaibu,2200504552,RT @youngy18: ‼ Use a face mask or scarf to keep you nose and mouth covered.,"Bwasandeku,Kalungu Uganda."
FaaarsF,3300438511,RT @aizadfahmy: Ok we need Rizalman to come back from retirement,"Somewhere, earth🌍 "
FlakesSoul,1127321135325036545,RT @CathyYan: Oh fuck yeah. Thanks KEVIN SMITH 🤩,"Baton Rouge, LA"
JessKHardy2000,1068015137376747521,"If I pull off my glasses one more time when taking off my mask, something’s getting set on fire. 

#PPE https://t.co/iUqrQfdMJ6","Montana, USA"
Kelvin_shams,500214284,RT @youngy18: ‼ Use a face mask or scarf to keep you nose and mouth covered.,Cole World
md_pinheiro,964907788978786304,RT @BryanBakerDO: Proud to be part of an incredible institution!,"Manaus, Brazil"
blushingprince,2941488535,I also saw a guy in a gas mask inside the store,fraldarddyd 
Quadrilekan3,987999149646860288,If the government no don’t provide us nose mask we go have made in Nigeria #CoronaVirusNigeria #COVID19NIGERIA https://t.co/SLXfnOmZDZ,onikoro moniya nigerial
JackiePeters,9091712,No #mask? No problem. Love seeing people getting creative out there. #funnynotfunny https://t.co/4DzyRcLnt6,"San Francisco, CA"
NnamdiAkaeme,190335927,RT @youngy18: ‼ Use a face mask or scarf to keep you nose and mouth covered.,"Lagos, Nigeria"
danielfeghas,238608060,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,"Lagos, Nigeria"
MattFolkmuse,909671250,@dan_aderhold @AnnCoulter Go for it Dan. Might I suggest front line at a hospital near you? No mask needed if you are under 60.  Go for it.,"California, USA"
ftman21,845111758847201280,RT @Blue2Reaganite: This is probably the worst Twitter lefty lie tale I’ve ever read. Holy shit.,"Georgia, USA"
alifffimrann,2283648942,RT @aizadfahmy: Ok we need Rizalman to come back from retirement,seremban
